Region,Contagiados con Atraso,Contagiados,Muertes,Muertes_DEIS,Recuperados,Infectados_Actuales,UCI,Fecha,Total_Contagiados
Itata,22,22,,3,,,,4/28/2020,
Punilla,102,102,,5,,,,4/28/2020,
Diguillín,642,642,,11,,,,4/29/2020,
Itata,22,22,,3,,,,4/29/2020,
Punilla,102,102,,5,,,,4/29/2020,
Diguillín,642,642,,12,,,,4/30/2020,
Itata,22,22,,3,,,,4/30/2020,
Punilla,102,102,,6,,,,4/30/2020,
Diguillín,649,649,,13,,,,5/1/2020,
Itata,22,22,,3,,,,5/1/2020,
Punilla,103,103,,6,,,,5/1/2020,
Diguillín,658,658,,13,,,,5/2/2020,
Itata,22,22,,3,,,,5/2/2020,
Punilla,104,104,,6,,,,5/2/2020,
Diguillín,659,659,,14,,,,5/3/2020,
Itata,22,22,,3,,,,5/3/2020,
Punilla,104,104,,6,,,,5/3/2020,
Diguillín,663,663,,14,,,,5/4/2020,
Itata,22,22,,3,,,,5/4/2020,
Punilla,104,104,,6,,,,5/4/2020,
Diguillín,664,664,,15,,,,5/5/2020,
Itata,22,22,,3,,,,5/5/2020,
Punilla,105,105,,6,,,,5/5/2020,
Diguillín,666,666,,16,,,,5/6/2020,
Itata,22,22,,3,,,,5/6/2020,
Punilla,105,105,,6,,,,5/6/2020,
Diguillín,667,667,,16,,,,5/7/2020,
Itata,22,22,,3,,,,5/7/2020,
Punilla,105,105,,6,,,,5/7/2020,
Diguillín,673,673,,16,,,,5/8/2020,
Itata,22,22,,3,,,,5/8/2020,
Punilla,106,106,,6,,,,5/8/2020,
Diguillín,680,680,,16,,,,5/9/2020,
Itata,23,23,,3,,,,5/9/2020,
Punilla,107,107,,6,,,,5/9/2020,
Diguillín,688,688,,16,,,,5/10/2020,
Itata,27,27,,3,,,,5/10/2020,
Punilla,110,110,,6,,,,5/10/2020,
Diguillín,700,700,,16,,,,5/11/2020,
Itata,27,27,,3,,,,5/11/2020,
Punilla,110,110,,7,,,,5/11/2020,
Diguillín,706,706,,16,,,,5/12/2020,
Itata,27,27,,3,,,,5/12/2020,
Punilla,116,116,,7,,,,5/12/2020,
Diguillín,721,721,,17,,,,5/13/2020,
Itata,31,31,,3,,,,5/13/2020,
Punilla,116,116,,7,,,,5/13/2020,
Diguillín,745,745,,17,,,,5/14/2020,
Itata,35,35,,3,,,,5/14/2020,
Punilla,119,119,,7,,,,5/14/2020,
Diguillín,777,777,,17,,,,5/15/2020,
Itata,36,36,,3,,,,5/15/2020,
Punilla,121,121,,8,,,,5/15/2020,
Diguillín,822,822,,18,,,,5/16/2020,
Itata,40,40,,3,,,,5/16/2020,
Punilla,126,126,,8,,,,5/16/2020,
Diguillín,831,831,,18,,,,5/17/2020,
Itata,40,40,,3,,,,5/17/2020,
Punilla,127,127,,8,,,,5/17/2020,
Diguillín,832,832,,18,,,,5/18/2020,
Itata,42,42,,3,,,,5/18/2020,
Punilla,127,127,,8,,,,5/18/2020,
Diguillín,853,853,,18,,,,5/19/2020,
Itata,43,43,,3,,,,5/19/2020,
Punilla,130,130,,8,,,,5/19/2020,
Diguillín,856,856,,18,,,,5/20/2020,
Itata,43,43,,3,,,,5/20/2020,
Punilla,133,133,,8,,,,5/20/2020,
Diguillín,860,860,,18,,,,5/21/2020,
Itata,44,44,,3,,,,5/21/2020,
Punilla,134,134,,8,,,,5/21/2020,
Diguillín,906,906,,18,,,,5/22/2020,
Itata,44,44,,3,,,,5/22/2020,
Punilla,143,143,,8,,,,5/22/2020,
Diguillín,926,926,,18,,,,5/23/2020,
Itata,44,44,,3,,,,5/23/2020,
Punilla,145,145,,8,,,,5/23/2020,
Diguillín,954,954,,18,,,,5/24/2020,
Itata,46,46,,3,,,,5/24/2020,
Punilla,150,150,,8,,,,5/24/2020,
Diguillín,962,962,,19,,,,5/25/2020,
Itata,46,46,,3,,,,5/25/2020,
Punilla,150,150,,8,,,,5/25/2020,
Diguillín,979,979,,20,,,,5/26/2020,
Itata,55,55,,3,,,,5/26/2020,
Punilla,151,151,,8,,,,5/26/2020,
Diguillín,1002,1002,,20,,,,5/27/2020,
Itata,56,56,,3,,,,5/27/2020,
Punilla,161,161,,8,,,,5/27/2020,
Diguillín,1032,1032,,20,,,,5/28/2020,
Itata,60,60,,3,,,,5/28/2020,
Punilla,165,165,,8,,,,5/28/2020,
Diguillín,1040,1040,,21,,,,5/29/2020,
Itata,64,64,,3,,,,5/29/2020,
Punilla,167,167,,8,,,,5/29/2020,
Diguillín,1067,1067,,21,,,,5/30/2020,
Itata,67,67,,4,,,,5/30/2020,
Punilla,170,170,,8,,,,5/30/2020,
Diguillín,1084,1084,,21,,,,5/31/2020,
Itata,70,70,,4,,,,5/31/2020,
Punilla,173,173,,8,,,,5/31/2020,
Diguillín,1088,1088,,21,,,,6/1/2020,
Itata,70,70,,4,,,,6/1/2020,
Punilla,185,185,,9,,,,6/1/2020,
Diguillín,1106,1106,,22,,,,6/2/2020,
Itata,70,70,,4,,,,6/2/2020,
Punilla,190,190,,9,,,,6/2/2020,
Diguillín,1137,1137,,22,,,,6/3/2020,
Itata,72,72,,4,,,,6/3/2020,
Punilla,201,201,,9,,,,6/3/2020,
Diguillín,1159,1159,,22,,,,6/4/2020,
Itata,74,74,,4,,,,6/4/2020,
Punilla,206,206,,9,,,,6/4/2020,
Diguillín,1192,1192,,23,,,,6/5/2020,
Itata,76,76,,4,,,,6/5/2020,
Punilla,212,212,,10,,,,6/5/2020,
Diguillín,1203,1203,,23,,,,6/6/2020,
Itata,77,77,,5,,,,6/6/2020,
Punilla,228,228,,10,,,,6/6/2020,
Diguillín,1250,1250,,23,,,,6/7/2020,
Itata,79,79,,5,,,,6/7/2020,
Punilla,241,241,,10,,,,6/7/2020,
Diguillín,1271,1271,,24,,,,6/8/2020,
Itata,81,81,,6,,,,6/8/2020,
Punilla,250,250,,10,,,,6/8/2020,
Diguillín,1288,1288,,25,,,,6/9/2020,
Itata,84,84,,6,,,,6/9/2020,
Punilla,259,259,,10,,,,6/9/2020,
Diguillín,1337,1337,,25,,,,6/10/2020,
Itata,87,87,,6,,,,6/10/2020,
Punilla,272,272,,10,,,,6/10/2020,
Diguillín,1361,1361,,26,,,,6/11/2020,
Itata,90,90,,6,,,,6/11/2020,
Punilla,288,288,,12,,,,6/11/2020,
Diguillín,1373,1373,,26,,,,6/12/2020,
Itata,90,90,,6,,,,6/12/2020,
Punilla,297,297,,12,,,,6/12/2020,
Diguillín,1409,1409,,26,,,,6/13/2020,
Itata,90,90,,6,,,,6/13/2020,
Punilla,303,303,,12,,,,6/13/2020,
Diguillín,1451,1451,,28,,,,6/14/2020,
Itata,93,93,,6,,,,6/14/2020,
Punilla,322,322,,12,,,,6/14/2020,
Diguillín,1456,1456,,28,,,,6/15/2020,
Itata,93,93,,6,,,,6/15/2020,
Punilla,324,324,,12,,,,6/15/2020,
Diguillín,1505,1505,,29,,,,6/16/2020,
Itata,95,95,,6,,,,6/16/2020,
Punilla,329,329,,12,,,,6/16/2020,
Diguillín,1541,1541,,30,,,,6/17/2020,
Itata,95,95,,6,,,,6/17/2020,
Punilla,338,338,,12,,,,6/17/2020,
Diguillín,1626,1626,,32,,,,6/18/2020,
Itata,110,110,,6,,,,6/18/2020,
Punilla,357,357,,12,,,,6/18/2020,
Diguillín,1654,1654,,32,,,,6/19/2020,
Itata,110,110,,6,,,,6/19/2020,
Punilla,371,371,,12,,,,6/19/2020,
Diguillín,1674,1674,,32,,,,6/20/2020,
Itata,110,110,,7,,,,6/20/2020,
Punilla,374,374,,12,,,,6/20/2020,
Diguillín,1693,1693,,35,,,,6/21/2020,
Itata,112,112,,7,,,,6/21/2020,
Punilla,376,376,,12,,,,6/21/2020,
Diguillín,1705,1705,,36,,,,6/22/2020,
Itata,117,117,,7,,,,6/22/2020,
Punilla,385,385,,12,,,,6/22/2020,
Diguillín,1724,1724,,37,,,,6/23/2020,
Itata,118,118,,7,,,,6/23/2020,
Punilla,390,390,,13,,,,6/23/2020,
Diguillín,1734,1734,,37,,,,6/24/2020,
Itata,118,118,,7,,,,6/24/2020,
Punilla,395,395,,13,,,,6/24/2020,
Diguillín,1762,1762,,37,,,,6/25/2020,
Itata,119,119,,7,,,,6/25/2020,
Punilla,408,408,,14,,,,6/25/2020,
Diguillín,1791,1791,,37,,,,6/26/2020,
Itata,120,120,,8,,,,6/26/2020,
Punilla,419,419,,14,,,,6/26/2020,
Diguillín,1829,1829,,38,,,,6/27/2020,
Itata,122,122,,9,,,,6/27/2020,
Punilla,424,424,,14,,,,6/27/2020,
Diguillín,1845,1845,,38,,,,6/28/2020,
Itata,124,124,,9,,,,6/28/2020,
Punilla,426,426,,14,,,,6/28/2020,
Diguillín,1852,1852,,38,,,,6/29/2020,
Itata,124,124,,9,,,,6/29/2020,
Punilla,433,433,,14,,,,6/29/2020,
Diguillín,1864,1864,,38,,,,6/30/2020,
Itata,124,124,,9,,,,6/30/2020,
Punilla,436,436,,14,,,,6/30/2020,
Diguillín,1888,1888,,40,,,,7/1/2020,
Itata,124,124,,9,,,,7/1/2020,
Punilla,443,443,,14,,,,7/1/2020,
Diguillín,1921,1921,,40,,,,7/2/2020,
Itata,125,125,,10,,,,7/2/2020,
Punilla,452,452,,15,,,,7/2/2020,
Diguillín,1945,1945,,42,,,,7/3/2020,
Itata,127,127,,10,,,,7/3/2020,
Punilla,465,465,,15,,,,7/3/2020,
Diguillín,1979,1979,,42,,,,7/4/2020,
Itata,127,127,,11,,,,7/4/2020,
Punilla,477,477,,16,,,,7/4/2020,
Diguillín,2001,2001,,42,,,,7/5/2020,
Itata,127,127,,11,,,,7/5/2020,
Punilla,497,497,,16,,,,7/5/2020,
