Region,Contagiados con Atraso,Contagiados,Muertes,Muertes_DEIS,Recuperados,Infectados_Actuales,UCI,Fecha,Total_Contagiados
Itata,477,477,,30,,,,9/30/2020,
Punilla,1314,1314,,34,,,,9/30/2020,
Diguillín,4745,4745,,111,,,,10/1/2020,
Itata,485,485,,30,,,,10/1/2020,
Punilla,1323,1323,,34,,,,10/1/2020,
Diguillín,4764,4764,,111,,,,10/2/2020,
Itata,488,488,,31,,,,10/2/2020,
Punilla,1335,1335,,34,,,,10/2/2020,
Diguillín,4779,4779,,111,,,,10/3/2020,
Itata,493,493,,32,,,,10/3/2020,
Punilla,1339,1339,,34,,,,10/3/2020,
Diguillín,4792,4792,,111,,,,10/4/2020,
Itata,496,496,,33,,,,10/4/2020,
Punilla,1340,1340,,34,,,,10/4/2020,
Diguillín,4805,4805,,112,,,,10/5/2020,
Itata,497,497,,34,,,,10/5/2020,
Punilla,1342,1342,,35,,,,10/5/2020,
Diguillín,4839,4839,,114,,,,10/6/2020,
Itata,498,498,,34,,,,10/6/2020,
Punilla,1353,1353,,35,,,,10/6/2020,
Diguillín,4858,4858,,115,,,,10/7/2020,
Itata,509,509,,35,,,,10/7/2020,
Punilla,1364,1364,,35,,,,10/7/2020,
Diguillín,4873,4873,,115,,,,10/8/2020,
Itata,518,518,,35,,,,10/8/2020,
Punilla,1369,1369,,36,,,,10/8/2020,
Diguillín,4898,4898,,115,,,,10/9/2020,
Itata,524,524,,35,,,,10/9/2020,
Punilla,1378,1378,,37,,,,10/9/2020,
Diguillín,4922,4922,,117,,,,10/10/2020,
Itata,528,528,,35,,,,10/10/2020,
Punilla,1381,1381,,37,,,,10/10/2020,
Diguillín,4950,4950,,118,,,,10/11/2020,
Itata,530,530,,35,,,,10/11/2020,
Punilla,1395,1395,,37,,,,10/11/2020,
Diguillín,4969,4969,,119,,,,10/12/2020,
Itata,532,532,,36,,,,10/12/2020,
Punilla,1402,1402,,38,,,,10/12/2020,
Diguillín,4976,4976,,119,,,,10/13/2020,
Itata,532,532,,36,,,,10/13/2020,
Punilla,1402,1402,,38,,,,10/13/2020,
Diguillín,4991,4991,,119,,,,10/14/2020,
Itata,535,535,,36,,,,10/14/2020,
Punilla,1403,1403,,38,,,,10/14/2020,
Diguillín,5033,5033,,120,,,,10/15/2020,
Itata,537,537,,36,,,,10/15/2020,
Punilla,1407,1407,,38,,,,10/15/2020,
Diguillín,5063,5063,,120,,,,10/16/2020,
Itata,537,537,,36,,,,10/16/2020,
Punilla,1408,1408,,38,,,,10/16/2020,
Diguillín,5100,5100,,120,,,,10/17/2020,
Itata,547,547,,36,,,,10/17/2020,
Punilla,1411,1411,,38,,,,10/17/2020,
Diguillín,5115,5115,,120,,,,10/18/2020,
Itata,549,549,,37,,,,10/18/2020,
Punilla,1411,1411,,39,,,,10/18/2020,
Diguillín,5136,5136,,121,,,,10/19/2020,
Itata,550,550,,37,,,,10/19/2020,
Punilla,1413,1413,,40,,,,10/19/2020,
Diguillín,5166,5166,,121,,,,10/20/2020,
Itata,553,553,,37,,,,10/20/2020,
Punilla,1417,1417,,41,,,,10/20/2020,
Diguillín,5200,5200,,124,,,,10/21/2020,
Itata,563,563,,37,,,,10/21/2020,
Punilla,1428,1428,,41,,,,10/21/2020,
Diguillín,5229,5229,,127,,,,10/22/2020,
Itata,568,568,,37,,,,10/22/2020,
Punilla,1430,1430,,42,,,,10/22/2020,
Diguillín,5250,5250,,127,,,,10/23/2020,
Itata,573,573,,37,,,,10/23/2020,
Punilla,1431,1431,,42,,,,10/23/2020,
Diguillín,5282,5282,,128,,,,10/24/2020,
Itata,579,579,,37,,,,10/24/2020,
Punilla,1432,1432,,42,,,,10/24/2020,
Diguillín,5296,5296,,129,,,,10/25/2020,
Itata,581,581,,37,,,,10/25/2020,
Punilla,1437,1437,,42,,,,10/25/2020,
Diguillín,5310,5310,,130,,,,10/26/2020,
Itata,585,585,,37,,,,10/26/2020,
Punilla,1441,1441,,42,,,,10/26/2020,
Diguillín,5349,5349,,132,,,,10/27/2020,
Itata,586,586,,37,,,,10/27/2020,
Punilla,1445,1445,,42,,,,10/27/2020,
Diguillín,5383,5383,,133,,,,10/28/2020,
Itata,591,591,,37,,,,10/28/2020,
Punilla,1455,1455,,42,,,,10/28/2020,
Diguillín,5429,5429,,133,,,,10/29/2020,
Itata,593,593,,37,,,,10/29/2020,
Punilla,1462,1462,,43,,,,10/29/2020,
Diguillín,5465,5465,,133,,,,10/30/2020,
Itata,604,604,,37,,,,10/30/2020,
Punilla,1467,1467,,43,,,,10/30/2020,
Diguillín,5477,5477,,133,,,,10/31/2020,
Itata,605,605,,37,,,,10/31/2020,
Punilla,1468,1468,,43,,,,10/31/2020,
Diguillín,5512,5512,,134,,,,11/1/2020,
Itata,614,614,,37,,,,11/1/2020,
Punilla,1473,1473,,43,,,,11/1/2020,
Diguillín,5518,5518,,135,,,,11/2/2020,
Itata,615,615,,37,,,,11/2/2020,
Punilla,1475,1475,,43,,,,11/2/2020,
Diguillín,5532,5532,,137,,,,11/3/2020,
Itata,618,618,,37,,,,11/3/2020,
Punilla,1476,1476,,43,,,,11/3/2020,
Diguillín,5555,5555,,138,,,,11/4/2020,
Itata,622,622,,37,,,,11/4/2020,
Punilla,1489,1489,,43,,,,11/4/2020,
Diguillín,5585,5585,,138,,,,11/5/2020,
Itata,625,625,,37,,,,11/5/2020,
Punilla,1493,1493,,43,,,,11/5/2020,
Diguillín,5621,5621,,139,,,,11/6/2020,
Itata,628,628,,37,,,,11/6/2020,
Punilla,1503,1503,,43,,,,11/6/2020,
Diguillín,5645,5645,,139,,,,11/7/2020,
Itata,638,638,,37,,,,11/7/2020,
Punilla,1512,1512,,43,,,,11/7/2020,
Diguillín,5670,5670,,139,,,,11/8/2020,
Itata,645,645,,37,,,,11/8/2020,
Punilla,1519,1519,,44,,,,11/8/2020,
Diguillín,5679,5679,,139,,,,11/9/2020,
Itata,650,650,,37,,,,11/9/2020,
Punilla,1520,1520,,44,,,,11/9/2020,
Diguillín,5723,5723,,139,,,,11/10/2020,
Itata,650,650,,38,,,,11/10/2020,
Punilla,1527,1527,,44,,,,11/10/2020,
Diguillín,5760,5760,,139,,,,11/11/2020,
Itata,657,657,,38,,,,11/11/2020,
Punilla,1532,1532,,44,,,,11/11/2020,
Diguillín,5786,5786,,139,,,,11/12/2020,
Itata,661,661,,38,,,,11/12/2020,
Punilla,1537,1537,,45,,,,11/12/2020,
Diguillín,5818,5818,,140,,,,11/13/2020,
Itata,666,666,,38,,,,11/13/2020,
Punilla,1539,1539,,45,,,,11/13/2020,
Diguillín,5886,5886,,140,,,,11/14/2020,
Itata,669,669,,38,,,,11/14/2020,
Punilla,1553,1553,,45,,,,11/14/2020,
Diguillín,5901,5901,,140,,,,11/15/2020,
Itata,678,678,,38,,,,11/15/2020,
Punilla,1564,1564,,46,,,,11/15/2020,
Diguillín,5923,5923,,141,,,,11/16/2020,
Itata,678,678,,38,,,,11/16/2020,
Punilla,1566,1566,,46,,,,11/16/2020,
Diguillín,5963,5963,,143,,,,11/17/2020,
Itata,680,680,,38,,,,11/17/2020,
Punilla,1570,1570,,46,,,,11/17/2020,
Diguillín,6009,6009,,144,,,,11/18/2020,
Itata,684,684,,38,,,,11/18/2020,
Punilla,1579,1579,,46,,,,11/18/2020,
Diguillín,6051,6051,,144,,,,11/19/2020,
Itata,685,685,,38,,,,11/19/2020,
Punilla,1587,1587,,46,,,,11/19/2020,
Diguillín,6094,6094,,144,,,,11/20/2020,
Itata,686,686,,39,,,,11/20/2020,
Punilla,1608,1608,,48,,,,11/20/2020,
Diguillín,6123,6123,,144,,,,11/21/2020,
Itata,687,687,,39,,,,11/21/2020,
Punilla,1623,1623,,48,,,,11/21/2020,
Diguillín,6164,6164,,145,,,,11/22/2020,
Itata,688,688,,39,,,,11/22/2020,
Punilla,1623,1623,,48,,,,11/22/2020,
Diguillín,6192,6192,,147,,,,11/23/2020,
Itata,688,688,,39,,,,11/23/2020,
Punilla,1624,1624,,48,,,,11/23/2020,
Diguillín,6243,6243,,147,,,,11/24/2020,
Itata,689,689,,39,,,,11/24/2020,
Punilla,1637,1637,,48,,,,11/24/2020,
Diguillín,6282,6282,,148,,,,11/25/2020,
Itata,694,694,,39,,,,11/25/2020,
Punilla,1639,1639,,48,,,,11/25/2020,
Diguillín,6333,6333,,149,,,,11/26/2020,
Itata,694,694,,39,,,,11/26/2020,
Punilla,1652,1652,,48,,,,11/26/2020,
Diguillín,6389,6389,,150,,,,11/27/2020,
Itata,695,695,,39,,,,11/27/2020,
Punilla,1656,1656,,48,,,,11/27/2020,
Diguillín,6435,6435,,150,,,,11/28/2020,
Itata,696,696,,39,,,,11/28/2020,
Punilla,1661,1661,,48,,,,11/28/2020,
Diguillín,6469,6469,,153,,,,11/29/2020,
Itata,696,696,,39,,,,11/29/2020,
Punilla,1670,1670,,48,,,,11/29/2020,
Diguillín,6487,6487,,155,,,,11/30/2020,
Itata,696,696,,39,,,,11/30/2020,
Punilla,1670,1670,,48,,,,11/30/2020,
Diguillín,6546,6546,,155,,,,12/1/2020,
Itata,697,697,,39,,,,12/1/2020,
Punilla,1675,1675,,48,,,,12/1/2020,
Diguillín,6614,6614,,155,,,,12/2/2020,
Itata,699,699,,39,,,,12/2/2020,
Punilla,1682,1682,,48,,,,12/2/2020,
Diguillín,6658,6658,,157,,,,12/3/2020,
Itata,700,700,,39,,,,12/3/2020,
Punilla,1687,1687,,48,,,,12/3/2020,
Diguillín,6708,6708,,159,,,,12/4/2020,
Itata,700,700,,39,,,,12/4/2020,
Punilla,1690,1690,,48,,,,12/4/2020,
Diguillín,6750,6750,,162,,,,12/5/2020,
Itata,703,703,,39,,,,12/5/2020,
Punilla,1691,1691,,48,,,,12/5/2020,
Diguillín,6791,6791,,163,,,,12/6/2020,
Itata,703,703,,39,,,,12/6/2020,
Punilla,1700,1700,,48,,,,12/6/2020,
Diguillín,6816,6816,,163,,,,12/7/2020,
Itata,703,703,,39,,,,12/7/2020,
Punilla,1703,1703,,48,,,,12/7/2020,
Diguillín,6880,6880,,163,,,,12/8/2020,
Itata,706,706,,39,,,,12/8/2020,
Punilla,1709,1709,,49,,,,12/8/2020,
Diguillín,6934,6934,,165,,,,12/9/2020,
Itata,708,708,,39,,,,12/9/2020,
Punilla,1715,1715,,49,,,,12/9/2020,
Diguillín,6978,6978,,166,,,,12/10/2020,
Itata,710,710,,39,,,,12/10/2020,
Punilla,1718,1718,,50,,,,12/10/2020,
Diguillín,7022,7022,,166,,,,12/11/2020,
Itata,720,720,,39,,,,12/11/2020,
Punilla,1724,1724,,50,,,,12/11/2020,
Diguillín,7063,7063,,166,,,,12/12/2020,
Itata,731,731,,39,,,,12/12/2020,
Punilla,1731,1731,,50,,,,12/12/2020,
Diguillín,7093,7093,,167,,,,12/13/2020,
Itata,732,732,,40,,,,12/13/2020,
Punilla,1734,1734,,50,,,,12/13/2020,
Diguillín,7124,7124,,169,,,,12/14/2020,
Itata,734,734,,40,,,,12/14/2020,
Punilla,1743,1743,,50,,,,12/14/2020,
Diguillín,7176,7176,,169,,,,12/15/2020,
Itata,741,741,,40,,,,12/15/2020,
Punilla,1749,1749,,51,,,,12/15/2020,
Diguillín,7227,7227,,172,,,,12/16/2020,
Itata,747,747,,40,,,,12/16/2020,
Punilla,1759,1759,,51,,,,12/16/2020,
Diguillín,7273,7273,,175,,,,12/17/2020,
Itata,751,751,,40,,,,12/17/2020,
Punilla,1768,1768,,51,,,,12/17/2020,
Diguillín,7325,7325,,177,,,,12/18/2020,
Itata,760,760,,41,,,,12/18/2020,
Punilla,1781,1781,,51,,,,12/18/2020,
Diguillín,7364,7364,,180,,,,12/19/2020,
Itata,768,768,,41,,,,12/19/2020,
Punilla,1787,1787,,51,,,,12/19/2020,
Diguillín,7387,7387,,182,,,,12/20/2020,
Itata,778,778,,41,,,,12/20/2020,
Punilla,1797,1797,,51,,,,12/20/2020,
Diguillín,7423,7423,,185,,,,12/21/2020,
Itata,779,779,,41,,,,12/21/2020,
Punilla,1802,1802,,51,,,,12/21/2020,
Diguillín,7495,7495,,187,,,,12/22/2020,
Itata,784,784,,42,,,,12/22/2020,
Punilla,1816,1816,,51,,,,12/22/2020,
Diguillín,7566,7566,,189,,,,12/23/2020,
Itata,787,787,,42,,,,12/23/2020,
Punilla,1832,1832,,51,,,,12/23/2020,
Diguillín,7655,7655,,190,,,,12/24/2020,
Itata,795,795,,42,,,,12/24/2020,
Punilla,1847,1847,,51,,,,12/24/2020,
Diguillín,7707,7707,,191,,,,12/25/2020,
Itata,806,806,,44,,,,12/25/2020,
Punilla,1856,1856,,51,,,,12/25/2020,
Diguillín,7819,7819,,192,,,,12/26/2020,
Itata,807,807,,44,,,,12/26/2020,
Punilla,1866,1866,,51,,,,12/26/2020,
Diguillín,7857,7857,,193,,,,12/27/2020,
Itata,808,808,,44,,,,12/27/2020,
Punilla,1877,1877,,51,,,,12/27/2020,
Diguillín,7886,7886,,199,,,,12/28/2020,
Itata,814,814,,45,,,,12/28/2020,
Punilla,1883,1883,,51,,,,12/28/2020,
Diguillín,7963,7963,,200,,,,12/29/2020,
Itata,818,818,,45,,,,12/29/2020,
Punilla,1895,1895,,51,,,,12/29/2020,
Diguillín,8038,8038,,202,,,,12/30/2020,
Itata,829,829,,45,,,,12/30/2020,
Punilla,1918,1918,,51,,,,12/30/2020,
Diguillín,8076,8076,,205,,,,12/31/2020,
Itata,837,837,,45,,,,12/31/2020,
Punilla,1927,1927,,53,,,,12/31/2020,
Diguillín,8135,8135,,207,,,,1/1/2021,
Itata,849,849,,46,,,,1/1/2021,
Punilla,1941,1941,,54,,,,1/1/2021,
Diguillín,8190,8190,,210,,,,1/2/2021,
Itata,851,851,,46,,,,1/2/2021,
Punilla,1960,1960,,54,,,,1/2/2021,
Diguillín,8236,8236,,210,,,,1/3/2021,
Itata,855,855,,47,,,,1/3/2021,
Punilla,1971,1971,,54,,,,1/3/2021,
Diguillín,8274,8274,,210,,,,1/4/2021,
Itata,859,859,,48,,,,1/4/2021,
Punilla,1980,1980,,55,,,,1/4/2021,
Diguillín,8326,8326,,,,,,1/5/2021,
Itata,864,864,,,,,,1/5/2021,
Punilla,1993,1993,,,,,,1/5/2021,
Diguillín,8415,8415,,,,,,1/6/2021,
Itata,875,875,,,,,,1/6/2021,
Punilla,2007,2007,,,,,,1/6/2021,
Diguillín,8475,8475,,,,,,1/7/2021,
Itata,881,881,,,,,,1/7/2021,
Punilla,2033,2033,,,,,,1/7/2021,
Diguillín,8556,8556,,,,,,1/8/2021,
Itata,889,889,,,,,,1/8/2021,
Punilla,2063,2063,,,,,,1/8/2021,
Diguillín,8616,8616,,,,,,1/9/2021,
Itata,899,899,,,,,,1/9/2021,
Punilla,2081,2081,,,,,,1/9/2021,
Diguillín,9339,9339,,,,,,1/19/2021,
Itata,970,970,,,,,,1/19/2021
Punilla,2257,2257,,,,,,1/19/2021
Diguillín,9421,9421,,,,,,1/20/2021
Itata,977,977,,,,,,1/20/2021
Punilla,2306,2306,,,,,,1/20/2021
Diguillín,9538,9538,,,,,,1/21/2021
Itata,984,984,,,,,,1/21/2021
Punilla,2323,2323,,,,,,1/21/2021
Diguillín,9624,9624,,,,,,1/22/2021
Itata,999,999,,,,,,1/22/2021
Punilla,2357,2357,,,,,,1/22/2021
Diguillín,9669,9669,,,,,,1/23/2021
Itata,1014,1014,,,,,,1/23/2021
Punilla,2381,2381,,,,,,1/23/2021
Diguillín,9740,9740,,,,,,1/24/2021
Itata,1019,1019,,,,,,1/24/2021
Punilla,2412,2412,,,,,,1/24/2021
