Region,Codigo region,Comuna,Codigo comuna,Superficie_km2,Poblacion,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14
Antofagasta,2,Antofagasta,2101,30683.5,425725,7.0355434298652,6.9562622559468,7.05219730771781,6.41724689989674,5.67847026837563,7.20801242883262,7.40996201248567,7.42634116766609,7.55008952169836,7.63451464082379,6.5325262170688,5.96601017421207,7.34067505991796,7.73655990375233,7.48448764221635,7.57439774159017,7.71792612802077,6.53736702001686,5.76382376066919,6.98438817366262,6.41331552372562,6.2903250253408,5.77475582838359,5.43064199846534,4.65233372173435,4.04369985127083,5.2974299220356,5.26143177878194,5.20654408351569,5.16708822387056,5.32505376038499,4.73642727901403,4.09302678072394,5.41609117003439,5.6321747615123,5.64395941683008,5.28384535955514,5.48791693902104,4.97125832457063,4.37244815793712,5.61055692916892,5.69462206686182,5.43383446538021,5.62573298850901,4.51199780221862,4.55133998351664,4.23425318062542,5.699020369,5.776886518,5.923870029,5.528370514,5.844907856,5.287361785,4.9842871,5.957225994,5.966081474,5.862463628,5.813317168,5.949485936,5.359553831,4.627875849,5.968739088,5.885664403,6.047982541,6.14114452,4.84028128,5.531930165,4.848739088,6.850155189,7.126741028,5.054772066,3.734675073,5.114277401,4.751028128,4.57471387,5.354869059,5.429553831,5.438690592,5.469970902,5.599806014,5.069088264,4.512250242,5.503627546,5.592938894,5.735208535,4.654733269,5.603249273,5.003889428,4.489631426,5.819233754,5.877701261,5.81400582,5.473646945,5.735179437,6.16186227,5.431309408,6.753297769,6.797953443,6.821813773,6.624122211,6.711677983,6.141406402,5.336905917,6.510368574,6.645383123,6.648768186,6.701726479,6.827400582,6.272706111,5.565227934
Antofagasta,2,Calama,2201,15533.2,190336,5.77632924335378,5.74366621222449,5.68561122472165,5.15936718927517,4.80379459213815,6.05669166098614,6.16811520109066,6.19742672119973,6.26462735741877,6.10571461031584,5.14232560781641,4.71960917973188,6.28294705748693,6.43319700068166,6.24866507611906,6.3181947284708,6.27434105885026,5.28627016587139,4.78107248352647,5.65939559191093,5.31879118382186,5.25996932515337,4.94061008861622,4.77388661667803,4.12883435582822,3.66172460804363,4.56853556009998,4.18748579868212,4.19572256305385,4.26150306748466,4.36119631901841,3.85108498068621,3.32447171097478,4.34253578732106,4.62309702340377,4.67561349693252,4.39422858441263,4.47895364689843,4.06583730970234,3.56947284708021,4.53405476028175,4.58228243581004,4.38894569416042,4.61309929561463,3.70222676664394,3.6923142467621,3.47475005680527,4.729360226,4.667911325,4.723656357,4.489856521,4.688933318,4.408914501,3.68728684,4.796865812,4.860343408,4.843672821,4.807979537,4.906268376,4.48856286,3.840438669,4.923056568,5.121427731,5.042455604,5.28792779,4.023815124,4.555098201,3.90953193,5.278725156,5.424320828,5.675790897,4.10275785,5.677701988,5.207691403,4.688080677,5.400064683,5.477713748,5.468834529,5.423174174,5.48559332,4.881218394,4.238445255,5.212807245,5.287369164,5.41970481,4.350229331,5.304392567,4.79407268,4.166999882,5.428554628,5.428672233,5.500646831,5.253645772,5.408032459,5.027725509,4.327737269,5.456868164,5.435258144,5.540132894,5.673762202,5.562183935,4.926849347,4.46927555,5.726714101,6.170528049,4.293043632,4.306979889,4.307450312,3.899653064,3.614312596
Antofagasta,2,María Elena,2302,12330.1,6814,3.60480452190297,3.20866698068771,3.22515308525671,2.83278379651437,2.93970796043335,3.33113518605747,3.56712199717381,3.4884597268017,3.21196420160151,3.23881300047103,2.90108337258596,2.7395195478097,3.36693358455016,3.68252472915685,4.60527555346208,4.95242581252944,3.31559114460669,2.70466321243523,2.56335374470089,3.36081017428168,3.37588318417334,3.25671219971738,2.64955252001884,2.54545454545455,1.92416391898257,1.65661799340556,2.36834667922751,2.59208666980688,2.50023551577956,2.24540744229863,2.25577013659915,2.00565237870937,1.61469618464437,2.31700423928403,2.65379180405087,2.6448422044277,3.46066886481394,2.38200659444183,1.8827131417805,1.63306641544984,2.3584550164861,2.83231276495525,2.81818181818182,2.55299105040038,1.69430051813472,1.69288742345737,1.63259538389072,2.467889908,2.747247706,2.839449541,2.26146789,2.194036697,1.672018349,1.479357798,2.227981651,2.808715596,2.788073394,2.369724771,2.177981651,1.949082569,1.750917431,2.644495413,2.862385321,2.969266055,2.440825688,1.614678899,1.732568807,1.651834862,2.527522936,3.431651376,3.659633028,2.347706422,2.872018349,2.443577982,2.151376147,2.976146789,3.652293578,2.988073394,2.502752294,2.305504587,1.993119266,1.609174312,2.275688073,2.939449541,2.978899083,2.02293578,2.225688073,1.978440367,1.684862385,2.76559633,4.839908257,3.153669725,2.560091743,2.51146789,2.296330275,2.033486239,2.80733945,3.244954128,3.235321101,2.724311927,2.707798165,2.34266055,1.980733945,2.754587156,3.729816514,3.101834862,2.697247706,2.458256881,2.18853211,1.778440367
Antofagasta,2,Mejillones,2102,3576.07,14776,6.9020618556701,7.13958762886598,7.16948453608247,6.59814432989691,5.98701030927835,6.02762886597938,6.00556701030928,6.6760824742268,6.66288659793815,6.85670103092784,5.92701030927835,5.30226804123711,6.90371134020618,6.81237113402062,6.63360824742268,6.84103092783505,7.2340206185567,5.5140206185567,4.96618556701031,6.43835051546392,6.04515463917526,6.1098969072165,5.64061855670103,5.20927835051546,3.77113402061856,3.27463917525773,4.95092783505155,4.79525773195876,4.56742268041237,4.46350515463918,4.4420618556701,3.4760824742268,3.00247422680412,4.6280412371134,4.52845360824742,4.49690721649484,4.41752577319588,4.62886597938144,3.72494845360825,3.32680412371134,4.7239175257732,4.67525773195876,4.61690721649485,4.71773195876289,2.95938144329897,2.7340206185567,2.66969072164948,4.50467104,4.619359968,4.78513218,4.416616975,4.49453389,3.442456768,3.137149672,4.553965414,4.589346054,4.611806798,4.591731266,4.504074737,3.536473862,3.014112502,4.761280064,4.610614192,4.690916319,4.59391771,2.987477639,3.038362155,2.795070563,4.687934804,5.147286822,4.132180481,3.163188233,3.979526933,3.109918505,2.730073544,4.653150467,4.870403498,4.869608428,4.785728483,4.872192407,3.350824886,2.717551183,4.809381833,5.115086464,5.170542636,3.24428543,4.572450805,3.296163785,2.919300338,4.886503677,5.016895249,4.970383622,4.497515404,4.579010137,3.888093818,3.165374677,5.262770821,5.557344464,5.579010137,5.517988471,5.429735639,4.218644405,3.528324389,5.417213278,5.815344862,5.78433711,5.606042536,6.012124826,4.646789903,3.766845558
Antofagasta,2,Ollagüe,2202,2925.54,287,0.470588235294118,0.941176470588235,0.647058823529412,0.794117647058824,0.617647058823529,0.352941176470588,0.647058823529412,0.882352941176471,1.32352941176471,0.941176470588235,2.02941176470588,1.29411764705882,1.26470588235294,1.47058823529412,1,0.735294117647059,1.20588235294118,1.44117647058824,1.23529411764706,1.08823529411765,1.82352941176471,1.26470588235294,1.02941176470588,0.705882352941176,0.529411764705882,0.411764705882353,0.764705882352941,0.588235294117647,0.970588235294117,0.558823529411765,0.676470588235294,1,0.617647058823529,0.411764705882353,0.911764705882353,0.647058823529412,0.323529411764706,0.382352941176471,0.676470588235294,0.647058823529412,0.264705882352941,0.911764705882353,0.441176470588235,0.352941176470588,0.529411764705882,0.323529411764706,0.323529411764706,0.352941176,0.411764706,0.5,0.235294118,0.264705882,0.147058824,0.382352941,0.411764706,0.764705882,0.676470588,0.5,0.588235294,0.588235294,0.588235294,0.264705882,0.617647059,0.647058824,0.235294118,0.323529412,0.176470588,0.411764706,0.147058824,0.676470588,0.823529412,0.382352941,1.058823529,0.470588235,0.411764706,0.558823529,1.117647059,0.882352941,0.852941176,0.558823529,1.911764706,0.588235294,0.647058824,0.852941176,0.735294118,0.617647059,0.823529412,0.911764706,3.705882353,0.382352941,0.529411765,0.882352941,0.441176471,1.852941176,0.411764706,0.323529412,0.470588235,0.911764706,0.529411765,0.852941176,3.088235294,0.647058824,0.794117647,0.588235294,0.794117647,0.588235294,0.147058824,0.205882353,0.205882353,0.235294118
Antofagasta,2,San Pedro de Atacama,2203,23602.2,10434,0.831712062256809,1.02918287937743,1.20525291828794,1.21108949416342,1.11867704280156,0.839494163424124,0.84727626459144,0.872568093385214,0.98443579766537,1.02237354085603,1.46498054474708,0.903696498054475,0.707198443579767,0.638132295719844,0.757782101167315,0.752918287937743,0.952334630350195,1.09630350194553,0.794747081712062,0.556420233463035,0.516536964980545,0.388132295719844,0.397859922178988,0.391050583657588,0.360894941634241,0.299610894941634,0.248054474708171,0.256809338521401,0.227626459143969,0.206225680933852,0.188715953307393,0.193579766536965,0.199416342412451,0.158560311284047,0.193579766536965,0.176070038910506,0.237354085603113,0.232490272373541,0.203307392996109,0.214007782101167,0.208171206225681,0.194552529182879,0.178988326848249,0.229571984435798,0.175097276264591,0.18579766536965,0.16147859922179,0.157221207,0.191042048,0.191956124,0.186471664,0.18190128,0.170932358,0.137111517,0.179159049,0.225776965,0.255027422,0.18464351,0.217550274,0.202010969,0.191042048,0.224862888,0.240402194,0.274223035,0.255941499,0.226691042,0.218464351,0.198354662,0.221206581,0.325411335,0.265996344,0.191956124,0.276965265,0.293418647,0.294332724,0.220292505,0.191956124,0.282449726,0.267824497,0.243144424,0.272394881,0.205667276,0.243144424,0.302559415,0.303473492,0.241316271,0.263254113,0.242230347,0.201096892,0.263254113,0.251371115,0.246800731,0.272394881,0.295246801,0.280621572,0.20749543,0.23308958,0.215722121,0.290676417,0.545703839,0.222120658,0.252285192,0.208409506,0.251371115,0.249542962,0.308043876,0.245886654,0.193784278,0.199268739,0.167276051
Antofagasta,2,Sierra Gorda,2103,12883,1746,5.23934189984388,5.14579080100877,4.40939113726432,3.78935991353429,3.63768464032665,5.18301909451183,5.4496217125015,5.25039029662544,4.94475801609223,4.47087786717906,3.78203434610304,3.79464392938633,5.10580040831032,5.3406989311877,5.080341059205,4.72234898522877,4.69773027500901,3.66314398943197,3.60069652936232,5.020415515792,4.85889275849646,4.90428725831632,4.18325927705056,3.70325447339978,3.05596253152396,2.73375765581842,3.76233937792723,3.76354029062087,3.54401345022217,3.30539209799448,3.21868620151315,2.82382610784196,2.4802449861895,3.43256875225171,3.60297826348024,3.70229374324487,3.25243184820464,3.23597934430167,2.79728593731236,2.6984508226252,3.58196229134142,4.05464152756095,3.71154077098595,4.58268283895761,2.58472439053681,2.4516632640807,2.40710940314639,3.551686747,3.740361446,3.691686747,3.263253012,3.279518072,2.778433735,2.53626506,3.661445783,4.074337349,3.899277108,3.437831325,3.267108434,2.808433735,2.670843373,3.882650602,4.117831325,3.908313253,3.37060241,2.808915663,2.766987952,2.589036145,3.673493976,4.320240964,4.290361446,2.937710843,3.787710843,3.24313253,3.08253012,4.10939759,4.631445783,4.212771084,3.817108434,3.723493976,3.217349398,3.014578313,3.854698795,4.191084337,4.202650602,3.183975904,3.376144578,3.011566265,2.821325301,4.013855422,4.17686747,4.252048193,3.52939759,3.34373494,3.040843373,2.841325301,3.907108434,4.093253012,3.902771084,3.503373494,3.496987952,3.169277108,2.764939759,3.665662651,4.763493976,3.83253012,3.51313253,3.318915663,2.77939759,2.60686747
Antofagasta,2,Taltal,2104,20412.1,13657,0.0847533632287,0.075784753363229,0.07219730941704,0.062780269058296,0.060089686098655,0.048430493273543,0.070403587443946,0.072645739910314,0.053811659192825,0.057847533632287,0.039910313901345,0.039910313901345,0.069955156950673,0.055156950672646,0.073991031390135,0.040358744394619,0.044843049327354,0.060089686098655,0.02780269058296,0.045291479820628,0.052017937219731,0.067713004484305,0.043497757847534,0.03542600896861,0.023766816143498,0.022869955156951,0.02780269058296,0.027354260089686,0.033183856502242,0.017040358744395,0.023318385650224,0.01390134529148,0.013004484304933,0.02017937219731,0.021076233183857,0.030941704035875,0.024215246636771,0.014798206278027,0.013452914798206,0.009417040358744,0.017040358744395,0.03542600896861,0.042600896860987,0.033632286995516,0.013452914798206,0.009865470852018,0.010313901345292,0.022481626,0.035884133,0.046260268,0.042369217,0.121487246,0.019455253,0.011673152,0.016861219,0.042801556,0.054042369,0.030696066,0.028102032,0.015996541,0.01642888,0.040639862,0.047124946,0.058798098,0.029831388,0.023346304,0.015996541,0.021184609,0.034154777,0.063553826,0.051880674,0.04539559,0.022481626,0.015564202,0.018590575,0.019887592,0.034587116,0.039342845,0.021616948,0.01642888,0.014699524,0.044963251,0.040207523,0.042801556,0.040639862,0.031993083,0.022481626,0.012105491,0.024210981,0.025507998,0.04539559,0.044963251,0.025507998,0.026805015,0.027669693,0.017725897,0.031128405,0.038478167,0.045827929,0.034587116,0.040207523,0.021616948,0.013402508,0.02075227,0.026805015,0.059662776,0.029831388,0.038045828,0.017293558,0.015131863
Antofagasta,2,Tocopilla,2301,4120.83,28079,4.53245033112583,4.60286975717439,4.88807947019868,4.17836644591612,4.07505518763797,4.71699779249448,4.65871964679912,4.7673289183223,4.85342163355408,4.75408388520971,4.06644591611479,3.94922737306843,4.69028697571744,4.75364238410596,4.56865342163355,4.62781456953642,5.15717439293598,4.12935982339956,3.93752759381898,4.31037527593819,4.09514348785872,4.11810154525386,3.70794701986755,3.54459161147903,3.00198675496689,2.67836644591612,3.24061810154525,3.19028697571744,3.23885209713024,3.26203090507726,3.18079470198675,2.87174392935982,2.51501103752759,3.22781456953642,3.3037527593819,3.40176600441501,3.32560706401766,3.40684326710817,3.14724061810154,2.84988962472406,3.39183222958057,3.39492273730684,3.2916114790287,3.49426048565121,2.76578366445916,2.81479028697572,2.63907284768212,3.307658739,3.411957233,3.493781366,3.205324024,3.406065896,2.971634301,2.645865154,3.25376391,3.355007637,3.391010255,3.29718525,3.462579097,3.111062623,2.736417194,3.235653502,3.246563386,3.377263801,3.516692123,2.789002837,2.990399302,2.66419376,3.432249618,3.71132446,3.879773074,2.751472834,4.149465416,3.773292603,3.453851189,3.624699978,3.747545276,3.773292603,3.813659175,3.826751036,3.254418503,2.95941523,3.658084224,3.671830679,3.967052149,3.268819551,3.720706961,3.245908793,2.886319005,3.670085097,3.797730744,3.704778529,3.477852935,3.756054986,3.484835261,3.154265765,3.779620336,3.86886319,3.983416976,3.816277547,4.052149247,3.55378573,3.243072223,3.668775911,3.928649356,3.859044294,3.937813659,3.913593716,3.559677067,3.251581933
Arica y Parinacota,15,Arica,15101,4799.66,247552,5.95945015830564,5.91825136182179,5.97026607146369,5.62069575819551,5.29682798765019,6.28689701284144,6.07647833867574,6.12819806886787,6.3716741067039,6.55200487699357,5.81433993431791,5.32972802894732,6.48225206977247,6.37775068336906,6.26424259109949,6.3037305067747,6.46787673792059,5.71599378576626,5.22746848636212,6.10115828597274,5.60319364417612,5.5044738549881,4.99728618906216,5.00668620086134,4.508367583725,3.96694263632967,4.73123439067078,4.57357770741972,4.60401958663547,4.60289866472636,4.69624982792865,4.29562840455448,3.77707419716426,4.75176496037443,4.80311104993019,4.86875381015123,4.75613065623095,4.76964071503019,4.45232148826965,3.89524296474012,4.82432990501662,4.68808872981849,4.43778883404456,4.63379284576508,3.79772275864781,3.74708461977149,3.58134549959686,4.603574683,4.842163035,4.971232706,4.938012592,3.525163615,3.265760915,3.025909204,3.640460608,3.702986497,3.751781128,3.805960567,3.890149946,3.591438158,3.190000828,3.933891144,3.767562754,3.890812692,3.978377931,3.272512634,3.599515367,3.145741861,4.071638638,4.069712534,4.1809295,3.176393836,4.316647337,4.094565488,3.790241074,4.152742109,4.113847237,4.119418441,4.19004225,4.336219037,4.637561097,3.994387375,4.729475603,4.717504763,4.830109353,4.113080938,4.971543368,4.607323337,4.013979786,4.96141579,4.916369812,4.939897274,4.736662248,5.044714605,4.723759423,4.207149366,5.026178444,4.969990059,4.950169829,4.927408665,5.13190705,4.825884351,4.226700356,4.850033137,4.828701019,4.979827686,4.989665314,5.169310745,4.850302378,4.318449176
